,KPI-total-investigations,KPI-total-audits,KPI-total-routine,KPI-total-prosecuted,KPI-total-penalized,KPI-total-warning,KPI-grade-5,KPI-grade-4,KPI-grade-3,KPI-grade-2,KPI-grade-1,KPI-grade-0,KPI-farmers-compliance,KPI-seasonal-farmers-compliance,KPI-NRAR-perceived-compliance,KPI-NRAR-surveillance-rate
128,1.0,0.0,0.0,0.0,0.0,0.0,446.0,51.0,1.0,0.0,0.0,2.0,461.0,92.175,100.0,2.2
129,1.0,1.0,1.0,0.0,1.0,1.0,445.0,52.0,0.0,0.0,0.0,3.0,461.0,92.16666666666666,16.666666666666664,2.4
130,1.0,0.0,0.0,0.0,0.0,0.0,445.0,52.0,0.0,0.0,0.0,3.0,463.0,92.175,100.0,2.2
131,1.0,0.0,1.0,0.0,0.0,1.0,444.0,53.0,0.0,0.0,0.0,3.0,463.0,92.175,58.33333333333333,2.4
132,1.0,0.0,1.0,0.0,0.0,0.0,444.0,53.0,0.0,0.0,0.0,3.0,461.0,92.15833333333335,100.0,2.2
133,1.0,0.0,0.0,0.0,0.0,0.0,444.0,53.0,0.0,0.0,0.0,3.0,462.0,92.15833333333335,100.0,2.2
134,1.0,0.0,0.0,0.0,0.0,0.0,444.0,53.0,0.0,0.0,0.0,3.0,462.0,92.15833333333335,100.0,2.2
135,1.0,0.0,0.0,0.0,0.0,0.0,444.0,53.0,0.0,0.0,0.0,3.0,461.0,92.15833333333335,100.0,2.2
136,1.0,0.0,0.0,0.0,0.0,0.0,444.0,53.0,0.0,0.0,0.0,3.0,461.0,92.16666666666666,100.0,2.2
137,1.0,0.0,1.0,0.0,0.0,1.0,443.0,54.0,0.0,0.0,0.0,3.0,461.0,92.175,58.33333333333333,2.4
138,1.0,0.0,0.0,0.0,0.0,0.0,443.0,54.0,0.0,0.0,0.0,3.0,462.0,92.19166666666666,100.0,2.4
139,1.0,0.0,0.0,0.0,0.0,0.0,443.0,54.0,0.0,0.0,0.0,3.0,462.0,92.20833333333334,100.0,2.4
140,1.0,0.0,0.0,0.0,0.0,0.0,443.0,54.0,0.0,0.0,0.0,3.0,461.0,92.21666666666665,100.0,2.4
141,1.0,0.0,0.0,0.0,0.0,0.0,443.0,54.0,0.0,0.0,0.0,3.0,461.0,92.225,100.0,2.4
142,1.0,0.0,1.0,0.0,0.0,1.0,442.0,55.0,0.0,0.0,0.0,3.0,461.0,92.23333333333335,58.33333333333333,2.4
143,1.0,0.0,0.0,0.0,0.0,0.0,442.0,55.0,0.0,0.0,0.0,3.0,461.0,92.24166666666666,100.0,2.2
144,1.0,0.0,0.0,0.0,0.0,0.0,442.0,55.0,0.0,0.0,0.0,3.0,461.0,92.25,100.0,2.2
145,1.0,0.0,0.0,0.0,0.0,0.0,442.0,55.0,0.0,0.0,0.0,3.0,461.0,92.25833333333334,100.0,2.2
146,1.0,0.0,2.0,0.0,0.0,2.0,440.0,56.0,0.0,1.0,0.0,3.0,461.0,92.275,9.090909090909093,2.2
147,2.0,0.0,0.0,0.0,0.0,0.0,440.0,56.0,0.0,1.0,0.0,3.0,463.0,92.28333333333335,100.0,2.2
148,2.0,1.0,1.0,0.0,0.0,1.0,439.0,57.0,0.0,1.0,0.0,3.0,464.0,92.30833333333334,61.53846153846154,2.6
149,2.0,0.0,0.0,0.0,0.0,0.0,439.0,57.0,0.0,1.0,0.0,3.0,463.0,92.325,100.0,2.6
150,3.0,0.0,1.0,0.0,0.0,1.0,438.0,58.0,0.0,1.0,0.0,3.0,463.0,92.34166666666665,64.28571428571428,2.8
151,3.0,0.0,0.0,0.0,0.0,0.0,438.0,58.0,0.0,1.0,0.0,3.0,463.0,92.35833333333335,100.0,2.8
152,3.0,0.0,0.0,0.0,0.0,0.0,438.0,58.0,0.0,1.0,0.0,3.0,463.0,92.375,100.0,2.8
153,3.0,0.0,0.0,0.0,0.0,0.0,438.0,58.0,0.0,1.0,0.0,3.0,463.0,92.39166666666665,100.0,2.4
154,3.0,0.0,1.0,0.0,0.0,0.0,438.0,58.0,0.0,1.0,0.0,3.0,463.0,92.39166666666665,100.0,2.6
155,3.0,0.0,0.0,0.0,0.0,0.0,438.0,58.0,0.0,1.0,0.0,3.0,464.0,92.4,100.0,2.4
156,3.0,0.0,0.0,0.0,0.0,0.0,438.0,58.0,0.0,1.0,0.0,3.0,463.0,92.41666666666666,100.0,2.2
157,3.0,0.0,1.0,0.0,0.0,1.0,437.0,59.0,0.0,1.0,0.0,3.0,463.0,92.425,58.33333333333333,2.4
158,3.0,0.0,1.0,0.0,0.0,1.0,436.0,60.0,0.0,1.0,0.0,3.0,463.0,92.43333333333334,61.53846153846154,2.6
159,3.0,0.0,0.0,0.0,0.0,0.0,436.0,60.0,0.0,1.0,0.0,3.0,463.0,92.45,100.0,2.6
160,3.0,0.0,0.0,0.0,0.0,0.0,436.0,60.0,0.0,1.0,0.0,3.0,463.0,92.46666666666665,100.0,2.6
161,3.0,0.0,1.0,0.0,0.0,0.0,436.0,60.0,0.0,1.0,0.0,3.0,463.0,92.48333333333335,100.0,2.6
162,3.0,0.0,0.0,0.0,0.0,0.0,436.0,60.0,0.0,1.0,0.0,3.0,463.0,92.49166666666666,100.0,2.6
163,3.0,0.0,0.0,0.0,0.0,0.0,436.0,60.0,0.0,1.0,0.0,3.0,463.0,92.5,100.0,2.6
164,3.0,1.0,0.0,0.0,1.0,0.0,436.0,60.0,0.0,0.0,1.0,3.0,463.0,92.51666666666665,64.28571428571428,2.8
165,3.0,0.0,1.0,0.0,0.0,1.0,435.0,61.0,0.0,0.0,1.0,3.0,464.0,92.54166666666666,66.66666666666667,3.0
166,3.0,0.0,0.0,0.0,0.0,0.0,435.0,61.0,0.0,0.0,1.0,3.0,464.0,92.56666666666666,100.0,2.8
167,3.0,0.0,0.0,0.0,0.0,0.0,435.0,61.0,0.0,0.0,1.0,3.0,463.0,92.58333333333334,100.0,2.8
